19,Софт - отстой! И что с этим делать? (файл PDF),"Роберт Гласс исследует важный, но часто упускаемый из виду вопрос о роли творчества в программном инжиниринге и программировании. Почти полувековой личный опыт как разработчика, преподавателя и исследователя помогает автору охватить множество проблем. Что важнее - процесс или продукт? Каково соотношение между ""интеллектуальным"" и ""канцелярским"" трудом, а также между теорией и практикой в...",59    ,/static/images/stars/stars3.gif
20,Поступай правильно! Как преданность работников приносит прибыль и постоянных клиентов (файл PDF),"Как подружиться с поисковой системой? Можно ли создать сайт, не только удобный для посетителей, но и легко индексируемый поисковыми роботами? Как составить рекламный текст, насыщенный ключевыми словами, но в то же время не вызывающий раздражения у пользователей? Какими методами повысить популярность своего сайта? На все эти вопросы отвечает Шэри Тероу, эксперт в вопросах SEO. Она разрушает преграды между...",99    ,/static/images/stars/stars5.gif
21,Управление бизнес-процессами. Практическое руководство по успешной реализации проектов (файл PDF),"Что самое трудное в инновациях? Точно предсказать, чего хотят клиенты, что им нужно и за что они го-товы платить деньги. Даже если спросить их об этом прямо, они часто не могут объяснить, чего хотят. Теперь у нас есть революционное решение: инновационные бизнес-игры. Основываясь на своем опыте консалтинга в стратегическом планировании программных продуктов и управления продуктами, Люк Хоманн разработал...",190    ,/static/images/stars/stars0.gif
22,Блоги и бизнес: путь к успеху (файл PDF),Файл PDF для книги,59    ,/static/images/stars/stars3.gif
23,"Мифический человеко-месяц, или Как создаются программные системы","подготовлен таким образом, что в нем можно искать необходимый текст или код, работают ссылки из оглавления, индекса и гиперссылки внутри книги.",790    ,/static/images/stars/stars5.gif
24,Возрождение бренда: шесть принципов. Вдохните в свой бренд новую жизнь вместе с McDonald\'s. (файл PDF),"Хорошее программное обеспечение создается людьми. Так же как и плохое. Именно поэтому основная тема этой книги - не аппаратное и не программное обеспечение, а человеческий фактор в программировании (peopleware).",99    ,/static/images/stars/stars4.gif
25,Программируем коллективный разум,"Когда речь заходит о человеческой стороне программного обеспечения, никто не говорит об этом с таким пониманием, как Ларри Константин. Разработчики приложений и менеджеры проектов признали книгу...",890    ,/static/images/stars/stars5.gif
26,Правила торговли. Сборник нормативных документов,"• ПРАВИЛА ПРОДАЖИ ОТДЕЛЬНЫХ ВИДОВ ТОВАРОВ; • ТРЕБОВАНИЯ К РОЗНИЧНОЙ ПРОДАЖЕ АЛКОГОЛЬНОЙ ПРОДУКЦИИ; • ОСОБЕННОСТИ ПРОДАЖИ БЫТОВОГО ГАЗА В БАЛЛОНАХ И ТВЕРДОГО ТОПЛИВА; • ПРАВИЛА ПРОДАЖИ ТОВАРОВ ПО ОБРАЗЦАМ; • ПРАВИЛА ПРОДАЖИ ТОВАРОВ ДИСТАНЦИОННЫМ СПОСОБОМ; • ПРАВИЛА КОМИССИОННОЙ ТОРГОВЛИ НЕПРОДОВОЛЬСТВЕННЫМИ ТОВАРАМИ; • ПЕРЕЧЕНЬ НЕПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ НАДЛЕЖАЩЕГО КАЧЕСТВА, НЕ ПОДЛЕЖАЩИХ...",49    ,/static/images/stars/stars0.gif
27,Конституция РФ.Гимн РФ,"Текст подготовлен с использованием профессиональной юридической системы ""Кодекс"".",40    ,/static/images/stars/stars0.gif
28,Бухгалтерский финансовый учет: Учебное пособие. Стандарт третьего поколения,Конституция принята всенародным голосованием 12 декабря 1993 года.,777    ,/static/images/stars/stars0.gif
29,Аудит. Учебник для студентов учреждений среднего профессионального образования,Учебное пособие по бухучету с самыми последними изменениями по состоянию на 15 ноября 2013 г. Для балавров. Гриф УМО.,604    ,/static/images/stars/stars0.gif
30,Краткий курс по бухгалтерскому учету. Учебное пособие,"Учебник создан в соответствии с требованиями Федерального государственного образовательного стандарта среднего профессионального образования по специальности «Экономика и бухгалтерский учет (по отраслям)»; общеобразовательная дисциплина «Аудит». Раскрыты понятия, сущность и содержание аудита. Приведены формы и методы организации аудиторской проверки. Рассмотрены состав и порядок...",88    ,/static/images/stars/stars0.gif
31,"Федеральный закон "" О государственной гражданской службе РФ"" . Общие принципы служебного поведения государственных служащих","Настоящее издание представляет собой учебное пособие, подготовленное в соответствии с Государственным образовательным стандартом по дисциплине ""Бухгалтерской учет"". Материал изложен кратко, но четко и доступно, что позволит в короткие сроки успешно подготовиться и сдать экзамен или зачет по данному предмету.",49    ,/static/images/stars/stars0.gif
32,Теория бухгалтерского учета: Учебник. Полковский А. Л,Издание предназначено для студентов высших учебных заведений.,434    ,/static/images/stars/stars0.gif
33,"Материалы, готовая продукция, товары: бухгалтерский и налоговый учет. Касьянова Г. Ю","Федеральный закон ""О государственной гражданской службе Российской Федерации"". Общие принципы служебного поведения государственных служащих.",279    ,/static/images/stars/stars0.gif
34,"Гражданский кодекс Российской Федерации. Части 1, 2, 3 и 4","Учебник подготовлен на основе нового Федерального закона «О бухгалтерском учете» и требований МСФО. Рассмотрены вопросы в области теории бухгалтерского учета, международные стандарты и адаптация к ним российской системы учета. Большое внимание уделено организации документооборота, технике и организации форм учета, бухгалтерской отчетности. В учебнике даны вопросы для самоконтроля и тесты....",183    ,/static/images/stars/stars0.gif
35,Гражданский процессуальный кодекс Российской Федерации : текст с изм. и доп. на 15 октября 2014 г,"Издание посвящено бухгалтерскому и налоговому учету материальных запасов, готовой продукции и товаров. На конкретных примерах (с проводками и расчетами) в соответствии с ныне действующими требованиями и с учетом изменений законодательства, вступающих в силу в ближайшее время, рассматриваются способы определения фактической себестоимости материалов, готовой продукции и товаров, учета расходов на их...",49    ,/static/images/stars/stars0.gif
36,Самоучитель по бухгалтерскому и налоговому учету и отчетности. 2-е изд.,"Настоящее издание содержит текст Гражданского кодекса Российской Федерации (первая, вторая, третья и четвертая части) в редакции, действующей на 15 октября 2014 года.",339    ,/static/images/stars/stars0.gif
37,Уголовно-процессуальный кодекс Российской Федерации : текст с изм. и доп. на 15 октября 2014 г,"Настоящее издание содержит текст Гражданского процессуального кодекса Российской Федерации в редакции, действующей на 15 октября 2014 года. Если есть изменения, вступающие в силу позднее, то вместе с редакцией нормы, действующей на эту дату, приводится норма в новой редакции и указывается дата, с которой она вступает в силу.",92    ,/static/images/stars/stars0.gif
38,Конституция Российской Федерации: текст с изменениями и дополнениями на 2015 год,"Книга позволяет самостоятельно изучить вопросы учета и отчетности, научиться выбирать наиболее экономичный налоговый режим, готовить документы для регистрации организации, грамотно поставить бухгалтерский учет и обеспечивать своевременную отчетность.",40    ,/static/images/stars/stars0.gif
39,Краткий курс по финансовому менеджменту. Учебное пособие,"Настоящее издание содержит текст Уголовно-процессуального кодекса Российской Федерации в редакции, действующей на 15 октября 2014 года. Если есть изменения, вступающие в силу позднее, то вместе с редакцией нормы, действующей на эту дату, приводится норма в новой редакции и указывается дата, с которой она вступает в силу.",107    ,/static/images/stars/stars0.gif
40,"Аудит. В 2 т. В 2 кн.: Учебник.  2-е изд., пер. и доп","Настоящее издание содержит текст основного закона страны - Конституции Российской Федерации со всеми последними изменениями, включая присоединение новых субъектов Российской Федерации - Крыма и Севастополя.",1278    ,/static/images/stars/stars0.gif
41,Теория бухгалтерского учета: учеб. пособие,"Настоящее издание представляет собой учебное пособие, подготовленное в соответствии с Государственным образовательным стандартом по дисциплине ""Финансовый менеджмент"". Материал изложен кратко, но четко и доступно, что позволит в короткие сроки успешно подготовиться и сдать экзамен или зачет по данному предмету.",433    ,/static/images/stars/stars0.gif
42,Конституция РФ. Герб. Гимн. Флаг,Издание предназначено для студентов высших образовательных учреждений.,40    ,/static/images/stars/stars0.gif
43,Конституция РФ. Гимн РФ. Герб РФ. Флаг РФ,"Особенность данного издания – это комплексное представление материала по дисциплине «Аудит». В нем рассматриваются как общетеоретические основы аудита, так и практическое его осуществление, т.е. процедуры проведения аудита по всем объектам производственно-хозяйственной и финансовой деятельности экономического субъекта. Важным аспектом является наличие ситуационных задач, решение которых...",40    ,/static/images/stars/stars0.gif
44,План счетов бухгалтер.учета.финансово-хозяйств.деятел.организ.Инструкция по применению,"Учебное пособие по курсу ""Теория бухгалтерского учета"" для студентов всех форм обучения по направлению подготовки ""Экономика"", квалификационная степень выпускника - бакалавр, профиль подготовки бакалавра - ""Бухгалтерский учет, анализ и аудит"". В учебном пособии рассмотрены теоретические аспекты основных кaтeгopий бухгалтерского учета, их применение и дальнейшее развитие в условиях рыночной экономики. При...",61    ,/static/images/stars/stars0.gif
45,"Некоммерческие организации: правовой статус, бухгалтерский учет, налогообложение и новые возможности","В данное издание включены изменения, касающиеся присоединения Крыма к Российской Федерации.",137    ,/static/images/stars/stars0.gif
46,Менеджмент качества продукции и процессов. Учебное пособие. Гриф УМО МО РФ,"Настоящее издание содержит текст основного закона страны - Конституции Российской Федерации со всеми изменениями и дополнениями на 2014 год, а также Федеральные конституционные законы ""О Государственном гербе Российской Федерации"", ""О Государственном гимне Российской Федерации"", ""О Государственном флаге...",720    ,/static/images/stars/stars0.gif
47,Риск-менеджмент: конспект лекций,КОНСТИТУЦИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ РАЗДЕЛ ПЕРВЫЙ ГЛАВА 1. Основы конституционного строя ГЛАВА 2. Права и свободы человека и гражданина ГЛАВА 3. Федеративное устройство ГЛАВА 4. Президент Российской Федерации ГЛАВА 5. Федеральное Собрание ГЛАВА 6. Правительство Российской Федерации ГЛАВА 7. Судебная власть и прокуратура ГЛАВА 8. Местное самоуправление ГЛАВА 9. Конституционные поправки и пересмотр Конституции...,205    ,/static/images/stars/stars0.gif
48,Теория бухгалтерского учета. Учебник,"Некоммерческие организации: правовой статус, бухгалтерский учет, налогообложение и новые возможности. 4-е изд., испр.и доп. Воеводина Н.А., Вяльшина А.А., Ермак Т.Л.",448    ,/static/images/stars/stars0.gif
49,Правила предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домов. Правила расчета размера платы за коммунальную услугу по отоплению,"4-е изд., испр.и доп. Воеводина Н.А., Вяльшина А.А., Ермак Т.Л.",49    ,/static/images/stars/stars0.gif
50,"Федеральный закон "" Об обязательном страховании гражданской ответственности владельцев транспортных средств""","В учебном пособии рассматриваются основные концептуальные и методологические положения менеджмента качества и конкурентоспособности продукции, товаров и процессов, квалиметрический и товароведный подход к определению показателей и оценке качества продукции и товаров, количественной оценке конкурентоспособности продукции и предприятий. Характеризуется сущность и оцениваются качество и...",49    ,/static/images/stars/stars0.gif
1,Программируем коллективный разум (файл PDF),"Хотите знать, как реализуются ранжирование результатов поиска, рекомендование товаров, социальные закладки и онлайновый подбор пар? В этой захватывающей книге рассказывается, как построить приложение Web 2.0, которое будет извлекать полезную информацию из гигантского массива данных, создаваемых партнерскими интернет-приложениями. Пользуясь описанными здесь изощренными алгоритмами, вы сможете писать...",290    ,/static/images/stars/stars5.gif
2,"Мифический человеко-месяц, или Как создаются программные системы (файл PDF)","Эта книга - юбилейное (дополненное и исправленное) издание своего рода библии для разработчиков программного обеспечения во всем мире, написанное Бруксом еще в 1975 году. Тогда же книга была издана на русском языке и давно уже стала библиографической редкостью. В США полагают, что без прочтения книги Брукса не может состояться ни один крупный руководитель программного проекта. Если вы никогда не слышали...",190    ,/static/images/stars/stars3.gif
3,Почти интеллектуальные системы. Как получить конкурентные преимущества путем автоматизации принятия скрытых решений (файл PDF),"Компьютерные системы, на которые для поддержки бизнеса опирается большинство организаций, недостаточно умны. Многие бизнес-решения, принимаемые в этих компаниях, скрыты в системах, которые принимают плохие решения или не принимают их вовсе. Кроме того, большинство систем с трудом справляется с темпом изменений. Решение данной проблемы кроется не в реализации абсолютно новых систем, а в использовании...",59    ,/static/images/stars/stars5.gif
4,Профессиональная разработка программного обеспечения (файл PDF),,190    ,/static/images/stars/stars3.gif
5,Тайм-менеджмент для системных администраторов (файл PDF),"Стив Макконнелл, автор бестселлеров по разработке ПО, приводит убедительные аргументы, доказывая, что отдельные успехи разработки ПО можно превратить в повседневную практику, если сделать совершеннее саму профессию разработчика ПО на всех уровнях, начиная с отдельного...",190    ,/static/images/stars/stars4.gif
6,Джоэл о программировании (файл PDF),"По тайм-менеджменту изданы сотни книг, но только эта написана сисадмином для сисадминов с учетом специфики их труда. Никакая другая работа не заставляет в такой степени разрываться на части. Пользователи то и дело отвлекают вас просьбами, мешая работать над долгосрочными проектами, которые вам поручил начальник, а ваши ""подопечные"" компьютеры создают проблемы в самый неподходящий момент. И даже овладев...",190    ,/static/images/stars/stars5.gif
7,IT-проекты: фронтовые очерки (файл PDF),"Полное название книги: ""Джоэл о программировании и разнообразных и иногда родственных вопросах, которые должны быть интересны разработчикам программного обеспечения, проектировщикам и менеджерам, а также тем, кому посчастливилось или не повезло в каком-то качестве работать с ними""",190    ,/static/images/stars/stars4.gif
8,"А полетит? Как узнать, есть ли у вашей бизнес-идеи крылья, прежде чем вы прыгнете (файл PDF)","Книга представляет собой подборку эссе, опубликованных автором на его сайте http://www.joelonsoftware.com. Талант и глубокое...",99    ,/static/images/stars/stars4.gif
9,"Продать как пить дать. Как создавать такие товары, которые люди захотят купить прежде, чем поймут, что они им нужны (файл PDF)","Этот сборник, написаннный живо и интересно, содержит практические рекомендации по управлению проектами, образованные в результате синтеза принципов управления и богатейшего практического опыта автора, и призван способствовать совершенствованию управления проектами в любой софтверной (и не только) компании. Затронуты разнообразные аспекты создания ПО и управления этим процессом, высказаны...",99    ,/static/images/stars/stars0.gif
10,Тотальная видимость. Как наши находки меняют нас (файл PDF),"В последние семь лет Университеты Колумбии, Джорджтауна, Мэриленда, Денвера, Северной Дакоты и Университет имени Джорджа Вашингтона время от времени вводили в свое учебное расписание курс предпринимательства, который требовал, чтобы студенты приходили в класс со своими бизнес-идеями.",190    ,/static/images/stars/stars3.gif
11,Факты и заблуждения профессионального программирования (файл PDF),", где в роли студентов выступало старшее руководство различных...",99    ,/static/images/stars/stars3.gif
12,Программируем командный дух (файл PDF),"По-настоящему замечательные продукты и по-настоящему грандиозный успех не приходят от фокус-групп! Полагаясь на метод проб и ошибок или на догадки, вы будете часто проигрывать. Теперь решение есть - RDE.",190    ,/static/images/stars/stars3.gif
13,Менеджмент. Справочник по вдохновению (файл PDF),"В данной книге раскрываются секреты метода RDE - первого систематизированного бизнес-процесса, ориентированного на решение проблем экспериментальным путем. Данный метод позволяет в максимально...",99    ,/static/images/stars/stars0.gif
14,Креативное программирование 2.0 (файл PDF),"Как ориентируются муравьи, пчелы и черепахи? Что общего между таксистом и веб-серфером? Может ли антилопа быть документом? Как мы ищем информацию? Как мы принимаем важные решения? Чье мнение мы считаем авторитетным? Мемы и ноосфера, закон Мура и закон Муэрса, Цицерон и Гибсон, ""длинный хвост"" и принцип Парето, ""умные толпы"" и социальные сети, биология эволюции и киберпространство, утконосы и семантическая...",190    ,/static/images/stars/stars3.gif
15,"Видимость в Интернете: поисковая оптимизация сайтов, 2-е издание (файл PDF)","Автор, имеющий огромный опыт работы в индустрии ПО, посвятил свой труд ее фактам, мифам и недоразумениям. Он представил 55 фактов и 10 заблуждений, относящихся к менеджменту, жизненному циклу, качеству, исследованиям и образованию в сфере разработки ПО. Некоторые из них хорошо известны, о других, наоборот, знают немногие.",99    ,/static/images/stars/stars0.gif
16,Бизнес-игры: создание революционных продуктов с помощью клиентов (файл PDF),Объективность изложения обеспечивается представлением противоположных точек...,99    ,/static/images/stars/stars0.gif
17,CRM со скоростью света. Привлечение и удержание клиентов в реальном времени через Интернет (файл PDF),Джим и Мишель Мак-Карти успешно руководили командами...,190    ,/static/images/stars/stars0.gif
18,Человеческий фактор в программировании (файл PDF),"Книга Томпсона ""Менеджмент. Справочник по вдохновению"" будет полезна всем, кто работает в сфере управления, особенно менеджерам среднего звена. В ней вы найдете множество советов и рекомендаций, которые помогут вам максимально использовать свои возможности и раскрыть еще не реализованный потенциал. Автор подробно рассказывает, как выделиться из толпы и достичь своей цели. Прочитав эту книгу, вы...",190    ,/static/images/stars/stars0.gif
19,Софт - отстой! И что с этим делать? (файл PDF),"Роберт Гласс исследует важный, но часто упускаемый из виду вопрос о роли творчества в программном инжиниринге и программировании. Почти полувековой личный опыт как разработчика, преподавателя и исследователя помогает автору охватить множество проблем. Что важнее - процесс или продукт? Каково соотношение между ""интеллектуальным"" и ""канцелярским"" трудом, а также между теорией и практикой в...",59    ,/static/images/stars/stars3.gif
20,Поступай правильно! Как преданность работников приносит прибыль и постоянных клиентов (файл PDF),"Как подружиться с поисковой системой? Можно ли создать сайт, не только удобный для посетителей, но и легко индексируемый поисковыми роботами? Как составить рекламный текст, насыщенный ключевыми словами, но в то же время не вызывающий раздражения у пользователей? Какими методами повысить популярность своего сайта? На все эти вопросы отвечает Шэри Тероу, эксперт в вопросах SEO. Она разрушает преграды между...",99    ,/static/images/stars/stars5.gif
